trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
114,False,"{'e': 0.3230332564222529, 'a': 0.01}",25,18,4.625249797166534,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
115,False,"{'e': 0.31981902181630384, 'a': 0.01}",25,1,-53.053897503242986,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 1}",1
116,False,"{'e': 0.31663676937905316, 'a': 0.01}",25,5,-3.75115335675505,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
117,False,"{'e': 0.3134861808826053, 'a': 0.01}",30,18,14.1522726685901,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
118,False,"{'e': 0.31036694126548503, 'a': 0.01}",25,14,10.005262822834432,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
119,False,"{'e': 0.30727873860113125, 'a': 0.01}",20,11,-7.728993255909537,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
120,False,"{'e': 0.3042212640667041, 'a': 0.01}",25,2,12.511162777264525,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
121,False,"{'e': 0.30119421191220214, 'a': 0.01}",20,0,-65.11797661744356,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
122,False,"{'e': 0.2981972794298874, 'a': 0.01}",30,7,-26.259180318587205,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 1}",1
123,False,"{'e': 0.2952301669240142, 'a': 0.01}",25,18,-5.255754177388667,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
124,False,"{'e': 0.2922925776808594, 'a': 0.01}",25,0,12.09047569689562,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
125,False,"{'e': 0.2893842179390506, 'a': 0.01}",20,0,-4.42483298476764,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
126,False,"{'e': 0.2865047968601901, 'a': 0.01}",20,0,7.818165209622074,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
127,False,"{'e': 0.2836540264997704, 'a': 0.01}",20,0,-18.17673622574989,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
128,False,"{'e': 0.2808316217783798, 'a': 0.01}",20,8,-11.631365954796664,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
129,False,"{'e': 0.27803730045319414, 'a': 0.01}",30,4,-6.665643865925535,"{0: 22, 1: 1, 2: 2, 3: 1, 4: 0}",1
130,False,"{'e': 0.27527078308975234, 'a': 0.01}",20,12,-68.44827940325847,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 2}",1
131,False,"{'e': 0.2725317930340126, 'a': 0.01}",20,3,-22.431511372259802,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
132,False,"{'e': 0.2698200563846868, 'a': 0.01}",35,6,-33.36025038431427,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 1}",1
133,False,"{'e': 0.26713530196585034, 'a': 0.01}",25,0,-55.258307681227976,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
134,False,"{'e': 0.26447726129982396, 'a': 0.01}",25,11,-4.067872767995445,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
135,False,"{'e': 0.261845668580326, 'a': 0.01}",20,6,0.2816096056621715,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
136,False,"{'e': 0.2592402606458915, 'a': 0.01}",30,1,16.905055262286506,"{0: 25, 1: 3, 2: 1, 3: 0, 4: 0}",1
137,False,"{'e': 0.2566607769535559, 'a': 0.01}",25,12,21.0484455024377,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'e': 0.25410695955280027, 'a': 0.01}",20,0,-74.41284162487953,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
139,False,"{'e': 0.25157855305975646, 'a': 0.01}",25,8,-35.06564974769287,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
140,False,"{'e': 0.24907530463166816, 'a': 0.01}",20,5,1.6948727727658264,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
141,False,"{'e': 0.24659696394160643, 'a': 0.01}",20,14,10.752221177121731,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'e': 0.2441432831534371, 'a': 0.01}",20,9,-1.905823628696885,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
143,False,"{'e': 0.24171401689703645, 'a': 0.01}",20,0,1.614012286653677,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
144,False,"{'e': 0.23930892224375455, 'a': 0.01}",20,2,-3.5078638899042685,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 0}",1
145,False,"{'e': 0.23692775868212176, 'a': 0.01}",25,18,12.290316219317392,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'e': 0.23457028809379765, 'a': 0.01}",30,8,-50.188583325381444,"{0: 17, 1: 2, 2: 1, 3: 1, 4: 1}",1
147,False,"{'e': 0.23223627472975883, 'a': 0.01}",20,10,2.6509275239338876,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
148,False,"{'e': 0.22992548518672384, 'a': 0.01}",30,2,-36.74520133313932,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 0}",1
149,False,"{'e': 0.22763768838381274, 'a': 0.01}",25,0,-57.218731500725625,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
150,False,"{'e': 0.22537265553943872, 'a': 0.01}",20,0,-82.93700788734772,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
151,False,"{'e': 0.22313016014842982, 'a': 0.01}",20,9,6.188065366044325,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
152,False,"{'e': 0.2209099779593782, 'a': 0.01}",20,0,24.885108758439078,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
153,False,"{'e': 0.21871188695221475, 'a': 0.01}",20,11,-24.711134631547793,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
154,False,"{'e': 0.21653566731600707, 'a': 0.01}",25,7,33.541202918043524,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'e': 0.21438110142697794, 'a': 0.01}",30,0,-102.23912108945375,"{0: 22, 1: 1, 2: 3, 3: 3, 4: 1}",0
156,False,"{'e': 0.21224797382674304, 'a': 0.01}",25,7,-30.122709638541526,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
157,False,"{'e': 0.21013607120076472, 'a': 0.01}",25,12,10.638244016328837,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
158,False,"{'e': 0.20804518235702046, 'a': 0.01}",25,13,1.2957659784529767,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
159,False,"{'e': 0.20597509820488344, 'a': 0.01}",25,4,-29.564680098758544,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 1}",1
160,False,"{'e': 0.20392561173421342, 'a': 0.01}",20,2,-23.723145136747,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
161,False,"{'e': 0.20189651799465538, 'a': 0.01}",25,20,10.097495691162887,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'e': 0.1998876140751445, 'a': 0.01}",30,0,-26.955885019193236,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",1
163,False,"{'e': 0.19789869908361465, 'a': 0.01}",20,7,0.5167296685107181,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
164,False,"{'e': 0.19592957412690934, 'a': 0.01}",25,0,33.78550460192752,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'e': 0.19398004229089189, 'a': 0.01}",20,10,-24.41250391120024,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
166,False,"{'e': 0.19204990862075408, 'a': 0.01}",25,15,20.255359793276618,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'e': 0.1901389801015205, 'a': 0.01}",25,0,-4.630881622614126,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
168,False,"{'e': 0.1882470656387468, 'a': 0.01}",25,9,8.85763325771756,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
169,False,"{'e': 0.18637397603940997, 'a': 0.01}",25,7,28.838892426486694,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'e': 0.18451952399298926, 'a': 0.01}",25,7,22.599369848698515,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
171,False,"{'e': 0.18268352405273466, 'a': 0.01}",30,2,15.815726064633079,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 0}",1
172,False,"{'e': 0.1808657926171221, 'a': 0.01}",20,10,18.780879619637602,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
